Aircraft_ID,Aircraft.Category,Engine.Type,Registration.Number,Number.of.Engines,Make,Model,Aircraft.damage
1835,Airplane,Turbo Fan,N726RP,3,Boeing,727-233,Minor
1836,Airplane,Reciprocating,N8818N,1,Grumman American,AA-5A,Destroyed
1837,Airplane,Reciprocating,N4698L,1,Cessna,U206,Destroyed
1838,Airplane,Reciprocating,N9830U,1,Piper,PA-28R-201T,
1839,Airplane,Reciprocating,N9133T,2,Beech,60,Destroyed
1840,Airplane,Reciprocating,N74023,2,Cessna,310I,Destroyed
1841,Airplane,Reciprocating,N23710,1,Cessna,152,Destroyed
1842,Airplane,Reciprocating,N8085C,1,Grumman American,AA-1C,Destroyed
1843,Airplane,Reciprocating,N24500,1,Beech,B23,Substantial
1844,Airplane,Reciprocating,N3670W,1,Gulfstream,AA-5B,Substantial
1845,Airplane,Reciprocating,N7969M,1,Stinson,HWW-75,Substantial
1846,Airplane,Reciprocating,N2236H,1,Piper,PA-28,Substantial
1847,Airplane,Reciprocating,N1051K,1,Piper,J3L-65S,Substantial
1848,Airplane,Reciprocating,N80751,1,Piper,PA-32-260,Substantial
1849,Airplane,Reciprocating,N8220A,1,Beech,V35,Substantial
1850,Balloon,Unknown,N3530Q,0,Balloon Works,FIREFLY 7,Substantial
1851,Airplane,Reciprocating,N8486G,1,Miller,TUFTS T-3-160,Destroyed
1852,Airplane,Reciprocating,N2405Q,1,Cessna,172,Substantial
1853,Airplane,Reciprocating,N67081,1,Cessna,170B,Substantial
1854,Airplane,Reciprocating,N1724E,1,Cessna,A188,Substantial
1855,Airplane,Reciprocating,N6702Y,1,Cessna,A188B,Substantial
1856,Airplane,Reciprocating,N69CB,1,Cessna,182J,Destroyed
1857,Helicopter,Turbo Shaft,N5693R,1,Aerospatiale,SA316B,Destroyed
1858,Airplane,Reciprocating,N8103P,1,Aeronca Champion,7AC,Substantial
1859,Airplane,Reciprocating,N714FF,1,Beech,77,Substantial
1860,Airplane,Reciprocating,N731EG,1,Boeing,A75,Substantial
1861,Helicopter,Reciprocating,N1119X,1,Enstrom,280C,Substantial
1862,Airplane,Reciprocating,N1762S,1,Piper,PA-24-250,Substantial
1863,Airplane,Reciprocating,N9284G,1,Cessna,150,Substantial
1864,Airplane,Reciprocating,N46TA,1,Cessna,A188B,Substantial
1865,Airplane,Reciprocating,N68940,1,Piper,PA-32-300,Destroyed
1866,Airplane,Reciprocating,N9931X,1,Rockwell,S2R,Destroyed
1867,Airplane,Reciprocating,N8691H,1,Cessna,188B,Destroyed
1868,Airplane,Reciprocating,N4737,2,Cessna,414,Substantial
1869,Airplane,Reciprocating,N2343,1,Cessna,152,Substantial
1870,Airplane,Reciprocating,N13119,1,Coot,AMPHIBIAN,Substantial
1871,Airplane,Reciprocating,N22BF,1,Grumman,G-164A,Substantial
1872,,Turbo Fan,N22SU,3,Boeing,727-235,Destroyed
1873,Airplane,Reciprocating,N57738,1,Breezy,RL4-1,Substantial
1874,Airplane,Reciprocating,N6201,1,Cessna,172M,Substantial
1875,Helicopter,Reciprocating,N9708C,1,Enstrom,F28A,Substantial
1876,Airplane,Reciprocating,N732XH,1,Cessna,305A,Substantial
