Airport_ID	Airport.Code	Airport.Name
821	KY07	CHERRY POINT MCAS
822	RVL	MYHAND
823	8G5	WHITERIVER
824	HSR	MINAM LODGE
825	O6MO	E.W.COTTON WOODS MEMORIAL
826	RIL	TEKAMAH
827	8S1	DILLON
828	ANQ	WARREN
829	13WA	COX INTERNATIONAL
830	SKX	SENECA FALLS
831	OII	SALINA MUNI
832	CGU	GILLETTE-CAMPBELL COUNTY
833	PLD	NORTHSIDE AIRPARK
834	3L2	VINCE AIRPORT
835	21X5	MEMPHIS INTERNATIONAL
836	LHV	TOM JAMES RANCH
837	3SM	CITY OF COLORADO SPRING
838	1PAB	GREAT LAKES AEROPORT
839	MC78	L.B. GLIDERPORT
840	PGM	BEAGLE SKY RANCH
841	Q32	ROCHE HARBOR
842	36K	SCOTTSDALE MUNI
843	SC26	CHARLOTTE DOUGLAS
844	VDZ	KATALLA BEACH
845	77G	LESTER STATE
846	GEO	CALIFORNIA CITY
847	4X2	EAGLES NEST
848	93V	PORTAGE CREEK
849	AK08	COUNTY LINE AIRPORT
850	3R8	WILLETT FIELD
851	LWT	ADA MUNICIPAL
852	PRN	WHITE CLOUD
853	9WO	CHELAN MUNICIPAL
854	9A6	PORT MEADVILLE
855	MLJ	REPUBLIC
856	ACQ	RENNER
857	RRL	EVANSVILLE DRESS REGIONAL
858	17TA	SOUTH EXPRESSWAY
859	F74	TULIP CITY
860	66G	WATERBURY
861	AIK	SKY PARK
862	JL	HEBER COSTELLO
863	DCR	GRAND FORKS
864	CWA	SAN FRANCISCO
865	4J9	ENGLISH FIELD
866		
