Airport_ID	Airport.Code	Airport.Name
86	X54	NEW ALBANY
87	Q09	MUSCLE SHOALS
88	55C	ENGLISH BAY
89	4M7	SHELL LAKE
90	CRG	SPAIN-AIR AIRPORT
91	WA10	STANDIFORD FIELD
92	MCN	CARSON CITY
93	6F8	BOSTON-LOGAN INTER'L
94	2J9	PHILLIP BILLARD
95	INT	OLIVER FARMS
96	Z13	WEISER
97	YNG	LAREDO INTERNATIONAL
98	1N9	PULLIAM FIELD
99	RYN	PAL WAUKEE
100	P14	ATHENS MUNICIPAL
101	PIH	SKY HARBOR/O'MALLEY
102	TYS	SUSSEX
103	D50	MCCOMAS-LEES SUMMIT
104	30J	ANSONIA
105	AVL	KINGDON AIRPARK
106	HOM	JEFFERSON COUNTY
107	X07	PRIVATE STRIP
108	61Q	ALBEMARLE
109	3Y2	SUNRIVER
110	CO26	WENTZVILLE
111	CGS	TURNER FIELD
112	MMU	TRUCKEE TAHOE
113	9K0	SANTA CATALINA
114	EMT	OAKDALE
115	E25	BENTON AIRPORT
116	24C	BIG BEAR CITY
117	APV	BALD KNOB
118	N17	BRYCE CANYON
119	X16	WHISPERING PINES
120	SPF	CANDLER HIGHPOINT
121	MGM	SINCLAIR ISLAND
122	Y33	LAKE PLACID
123	DBQ	ESSEX COUNTY AIRPORT
124	F67	MALDEN MUNI
125	FFL	WEST PASCO
126	18L	DELAND MUNICIPAL
127	52F	GRASS STRIP
128	83C	ALBUQUERQUE INTL.
129	I15	MCKINNEY
130	MOD	LAS ANIMAS COUNTY
131	SLC	GROTON-NEW LONDON
132	9R5	CRYSTAL RIVER
133	K37	HELIPAD
134	Z15	SONOMA VALLEY
135	KNW	N. LAS VEGAS AIR TERMINAL
136	I69	CRAWFORD
137	8A4	ANDERSON MUNICIPAL
138	N13	STEWART
139	GWO	PRIVATE STRIP
140	10RG	TERRELL COUNTY
141	SUS	SALT LAKE #2
142	U68	SKY HARBOR INTL ARPT
143	ALW	YAMPA VALLEY
144	P33	PHILADELPHIA INTL
145	PIA	PRIVATE RANCH
146	30A	ROBERT MILLER
147	SFM	BURNS MUNICIPAL
148	L16	SHIP SHOAL 87
149	1G3	ELLINGTON
150	I62	FRANK SIKES
151	D98	MEDFORD-JACKSON COUNTY
152	MAE	RIED HILLVIEW
153	N34	MEDFORD-JACKSON COUNTY
154	B16	SPRINGFIELD MUNICIPAL
155	HPB	RIED HILLVIEW
156	21A	DAVIS
157	BFF	BROWNSBURG
158	W97	MOUNT HAWLEY AUX.
159	TIX	BUFFALO
160	LRU	KALAUPAPA
161	DAY	AURORA
162	0CA1	GEORGE O. BEARDSLEY FIELD
163	MEM	MARTHAS VINEYARD
164	4G3	MCGUIRE AFB
